0;3876;1.28999 
0;4332;1.1542 
0;4381;1.14129 
0;4334;1.15367 
0;4347;1.15022 
0;4418;1.13173 
0;4371;1.1439 
0;4365;1.14548 
0;4389;1.13921 
0;4368;1.14469
 
0;4322;1.15687 
0;4361;1.14653 
0;4405;1.13507 
0;4361;1.14653 
0;4409;1.13404 
0;4410;1.13379 
0;4346;1.15048 
0;4380;1.14155 
0;4400;1.13636 
0;4368;1.14469 

6;4525;1.10497 
0;4217;1.18568 
0;4521;1.10595 
0;4251;1.17619 
0;4513;1.10791 
0;4334;1.15367 
0;4456;1.12208 
0;4477;1.11682 
0;4186;1.19446 
0;4211;1.18737 

22;3962;1.26199 
0;4052;1.23396 
0;3912;1.27812 
0;4044;1.2364 
0;3909;1.2791 
0;4157;1.20279 
0;4034;1.23946 
0;4034;1.23946 
0;4030;1.24069 
0;4091;1.2222 

3386;2533;1.97394 
0;3077;1.62496 
0;2523;1.98177 
0;3215;1.55521 
0;2563;1.95084 
0;3063;1.63239 
0;2596;1.92604 
0;2586;1.93349 
0;3201;1.56201 
0;3060;1.63399 
